checking coverage with
forcefield = refit/fb-fit/forcefield/force-field.offxml
dataset = /home/brent/omsf/projects/benchmarking/datasets/industry.json
finished loading collection after 1.1 s
finished to_records after 1.1 s
finished counting results after 5926.5 s
63 / 83 (75.9%) ids covered:
b0      12   [*:1]~[*:2]
    1     b4   [!#15!#16:1]~[*:2]
    2     b5   [!#15!#16:1]~[#15:2]
    3     b6   [!#15!#16!#35:1]~[*:2]
    4     b7   [!#15!#16!#35:1]~[#16:2]
    5     b8   [!#15!#16!#35:1]~[#16!X3:2]
    6     b9   [!#15!#16!#17!#35:1]~[*:2]
    7    b10   [!#15!#16!#17!#35:1]~[#16:2]
    8    b11   [!#15!#16!#17!#35x2:1]~[#16:2]
    9    b13   [!#15!#16!#17!#35!+:1]~[X2:2]
   10    b14   [!#15!#16!#17!#35!+x0:1]~[X2:2]
   11    b40   [!#15!#16!#17!#35!+X1:1]#[*:2]
   12    b44   [#9!+X1:1]~[!#6H1:2]
   13    b50   [!#8!#15!#16!#17!#35!+:1]~[#15:2]
   14    b51   [!#8!#15!#16!#17!#35+0!H0:1]~[#15:2]
   15    b53   [!#15!#16!#17!#35!+X3H1:1]~[#15:2]
   16    b55   [!#15!#16!#17!#35!+0!+X1:1]~[#15:2]
   17    b62   [#6!+!X3:1]~[#16!X2:2]
   18    b65   [!#15!#16!#17!#35!+H2:1]~[#16!X4:2]
   19    b79   [!#15!#16!#17!#35!+0!+:1]~[#17:2]
finished after 5926.5 s
